fpr,tpr
0.000000000000000000e+00,7.691846522781774498e-01
0.000000000000000000e+00,7.787769784172662302e-01
0.000000000000000000e+00,7.799760191846523139e-01
0.000000000000000000e+00,7.823741007194244812e-01
0.000000000000000000e+00,7.835731414868105649e-01
0.000000000000000000e+00,9.796163069544364665e-01
1.390820584144645275e-03,9.796163069544364665e-01
1.390820584144645275e-03,9.832134292565947176e-01
2.781641168289290551e-03,9.832134292565947176e-01
2.781641168289290551e-03,9.940047961630695816e-01
4.172461752433936043e-03,9.940047961630695816e-01
4.172461752433936043e-03,9.952038369304556653e-01
5.563282336578581101e-03,9.952038369304556653e-01
5.563282336578581101e-03,9.964028776978417490e-01
6.954102920723227027e-03,9.964028776978417490e-01
6.954102920723227027e-03,9.970023980815347908e-01
8.344923504867872086e-03,9.970023980815347908e-01
8.344923504867872086e-03,9.982014388489208745e-01
1.112656467315716220e-02,9.982014388489208745e-01
1.112656467315716220e-02,9.994004796163069582e-01
1.529902642559109911e-02,9.994004796163069582e-01
1.529902642559109911e-02,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00
